"","code_insee","code_pat"
"9265.1","26357","30"
"9266","26358","23"
"9266.1","26358","24"
"9267","26359","31"
"9267.1","26359","24"
"9267.2","26359","25"
"9268","26360","24"
"9269","26361","24"
"9269.1","26361","25"
"9270","26362","23"
"9270.1","26362","24"
"9271","26363","21"
"9271.1","26363","24"
"9272","26364","31"
"9272.1","26364","22"
"9272.2","26364","24"
"9273","26365","24"
"9273.1","26365","28"
"9274","26367","21"
"9274.1","26367","24"
"9275","26368","24"
"9275.1","26368","29"
"9276","26369","21"
"9276.1","26369","24"
"9277","26370","21"
"9277.1","26370","24"
"9278","26372","24"
"9279","26373","21"
"9279.1","26373","24"
"9279.2","26373","27"
"9280","26374","21"
"9280.1","26374","24"
"9281","26375","21"
"9281.1","26375","24"
"9282","26376","21"
"9282.1","26376","24"
"9283","26377","21"
"9283.1","26377","24"
"9284","26378","24"
"9284.1","26378","25"
"9285","26379","23"
"9285.1","26379","24"
"9286","26380","24"
"9286.1","26380","12"
"9287","26381","23"
"9287.1","26381","24"
"9288","26382","23"
"9288.1","26382","24"
"13988","38001","32"
"13988.1","38001","35"
"13989","38002","31"
"13989.1","38002","32"
"13990","38003","32"
"13990.1","38003","34"
"13991","38004","32"
"13992","38005","32"
"13993","38006","31"
"13993.1","38006","32"
"13994","38008","32"
"13994.1","38008","33"
"13995","38009","32"
"13995.1","38009","34"
"13996","38010","32"
"13997","38011","32"
"13998","38012","32"
"13998.1","38012","35"
"13999","38013","32"
"14000","38015","32"
"14001","38017","32"
"14001.1","38017","34"
"14002","38018","31"
"14002.1","38018","32"
"14003","38019","32"
"14003.1","38019","34"
"14004","38020","32"
"14005","38022","32"
"14006","38023","31"
"14006.1","38023","32"
"14007","38026","32"
"14008","38027","31"
"14008.1","38027","32"
"14009","38029","32"
"14009.1","38029","35"
"14010","38030","32"
"14011","38031","32"
"14011.1","38031","33"
"14012","38032","32"
"14013","38033","32"
"14014","38034","32"
"14014.1","38034","34"
"14015","38035","32"
"14016","38036","32"
"14017","38037","32"
"14017.1","38037","34"
"14018","38038","32"
"14018.1","38038","35"
"14019","38039","31"
"14019.1","38039","32"
"14020","38040","32"
"14021","38041","32"
"14022","38042","32"
"14023","38043","31"
"14023.1","38043","32"
"14024","38044","32"
"14024.1","38044","35"
"14025","38045","31"
"14025.1","38045","32"
"14026","38046","32"
"14027","38047","32"
"14027.1","38047","35"
"14028","38048","32"
"14029","38049","32"
"14030","38050","32"
"14031","38051","32"
"14031.1","38051","34"
"14032","38052","32"
"14033","38053","32"
"14034","38054","32"
"14035","38055","32"
"14036","38056","32"
"14037","38057","31"
"14037.1","38057","32"
"14038","38058","32"
"14039","38059","31"
"14039.1","38059","32"
"14040","38060","32"
"14041","38061","31"
"14041.1","38061","32"
"14042","38062","31"
"14042.1","38062","32"
"14043","38063","32"
"14044","38064","32"
"14044.1","38064","35"
"14045","38065","32"
"14046","38066","32"
"14046.1","38066","34"
"14047","38067","32"
"14048","38068","31"
"14048.1","38068","32"
"14049","38069","32"
"14050","38070","31"
"14050.1","38070","32"
"14051","38071","31"
"14051.1","38071","32"
"14052","38072","32"
"14052.1","38072","34"
"14053","38073","32"
"14053.1","38073","33"
"14054","38074","32"
"14055","38075","31"
"14055.1","38075","32"
"14056","38076","32"
"14056.1","38076","35"
"14057","38077","32"
"14057.1","38077","34"
"14058","38078","31"
"14058.1","38078","32"
"14059","38080","31"
"14059.1","38080","32"
"14060","38081","32"
"14061","38082","31"
"14061.1","38082","32"
"14062","38083","32"
"14063","38084","31"
"14063.1","38084","32"
"14064","38085","32"
"14065","38086","32"
"14066","38087","32"
"14067","38089","32"
"14067.1","38089","35"
"14068","38090","31"
"14068.1","38090","32"
"14069","38091","32"
"14070","38092","31"
"14070.1","38092","32"
"14071","38093","32"
"14072","38094","32"
"14073","38095","32"
"14074","38097","32"
"14075","38098","32"
"14075.1","38098","35"
"14076","38099","32"
"14077","38100","31"
"14077.1","38100","32"
"14078","38101","32"
"14078.1","38101","34"
"14079","38102","32"
"14080","38103","31"
"14080.1","38103","32"
"14081","38104","32"
"14081.1","38104","35"
"14082","38105","31"
"14082.1","38105","32"
"14083","38106","32"
"14083.1","38106","33"
"14084","38107","32"
"14085","38108","31"
"14085.1","38108","32"
"14086","38109","32"
"14087","38110","32"
"14088","38111","31"
"14088.1","38111","32"
"14089","38112","32"
"14090","38113","31"
"14090.1","38113","32"
"14091","38114","32"
"14091.1","38114","34"
"14092","38115","31"
"14092.1","38115","32"
"14093","38116","32"
"14093.1","38116","33"
"14094","38117","31"
"14094.1","38117","32"
"14095","38118","32"
"14096","38120","31"
"14096.1","38120","32"
"14097","38124","32"
"14098","38126","31"
"14098.1","38126","32"
"14099","38127","31"
"14099.1","38127","32"
"14100","38128","32"
"14100.1","38128","33"
"14101","38129","31"
"14101.1","38129","32"
"14102","38130","32"
"14103","38131","32"
"14104","38132","32"
"14104.1","38132","33"
"14105","38133","31"
"14105.1","38133","32"
"14106","38134","32"
"14106.1","38134","34"
"14107","38135","32"
"14108","38136","32"
"14109","38137","32"
"14110","38138","32"
"14111","38139","32"
"14112","38140","31"
"14112.1","38140","32"
"14113","38141","32"
"14114","38144","32"
"14115","38146","32"
"14116","38147","32"
"14116.1","38147","35"
"14117","38148","32"
"14117.1","38148","35"
"14118","38149","32"
"14119","38150","31"
"14119.1","38150","32"
"14120","38151","31"
"14120.1","38151","32"
"14121","38152","32"
"14122","38153","31"
"14122.1","38153","32"
"14123","38154","32"
"14123.1","38154","33"
"14124","38155","31"
"14124.1","38155","32"
"14125","38156","32"
"14126","38157","32"
"14127","38158","31"
"14127.1","38158","32"
"14128","38159","32"
"14129","38160","32"
"14130","38161","32"
"14131","38162","32"
"14131.1","38162","35"
"14132","38163","31"
"14132.1","38163","32"
"14133","38166","31"
"14133.1","38166","32"
"14134","38167","32"
"14135","38169","31"
"14135.1","38169","32"
"14136","38170","31"
"14136.1","38170","32"
"14137","38171","32"
"14138","38172","32"
"14139","38173","32"
"14140","38174","32"
"14141","38175","31"
"14141.1","38175","32"
"14142","38176","32"
"14143","38177","32"
"14144","38179","31"
"14144.1","38179","32"
"14145","38180","32"
"14146","38181","31"
"14146.1","38181","32"
"14147","38182","32"
"14148","38183","32"
"14148.1","38183","35"
"14149","38184","32"
"14150","38185","31"
"14150.1","38185","32"
"14151","38186","31"
"14151.1","38186","32"
"14152","38187","31"
"14152.1","38187","32"
"14153","38188","31"
"14153.1","38188","32"
"14154","38189","32"
"14155","38190","32"
"14156","38191","32"
"14157","38192","31"
"14157.1","38192","32"
"14158","38193","32"
"14159","38194","32"
"14160","38195","31"
"14160.1","38195","32"
"14161","38197","32"
"14162","38198","32"
"14162.1","38198","34"
"14163","38199","32"
"14164","38200","31"
"14164.1","38200","32"
"14165","38203","32"
"14165.1","38203","33"
"14166","38204","31"
"14166.1","38204","32"
"14167","38205","31"
"14167.1","38205","32"
"14168","38206","31"
"14168.1","38206","32"
"14169","38207","32"
"14169.1","38207","33"
"14170","38208","31"
"14170.1","38208","32"
"14171","38209","32"
"14172","38210","32"
"14173","38211","32"
"14174","38212","32"
"14175","38213","32"
"14176","38214","31"
"14176.1","38214","32"
"14177","38215","32"
"14178","38216","31"
"14178.1","38216","32"
"14179","38217","32"
"14179.1","38217","33"
"14180","38218","32"
"14181","38219","32"
"14182","38221","32"
"14183","38222","31"
"14183.1","38222","32"
"14184","38223","32"
"14185","38224","32"
"14185.1","38224","33"
"14186","38225","31"
"14186.1","38225","32"
"14187","38226","31"
"14187.1","38226","32"
"14188","38228","31"
"14188.1","38228","32"
"14189","38229","31"
"14189.1","38229","32"
"14190","38230","32"
"14191","38231","32"
"14192","38232","32"
"14193","38235","31"
"14193.1","38235","32"
"14194","38236","31"
"14194.1","38236","32"
"14195","38237","32"
"14196","38238","32"
"14197","38239","31"
"14197.1","38239","32"
"14198","38240","32"
"14198.1","38240","34"
"14199","38241","32"
"14199.1","38241","33"
"14200","38242","31"
"14200.1","38242","32"
"14201","38243","31"
"14201.1","38243","32"
"14202","38244","32"
"14202.1","38244","34"
"14203","38245","32"
"14204","38246","32"
"14204.1","38246","35"
"14205","38247","32"
"14206","38248","31"
"14206.1","38248","32"
"14207","38249","31"
"14207.1","38249","32"
"14208","38250","32"
"14209","38252","31"
"14209.1","38252","32"
"14210","38253","32"
"14211","38254","32"
"14211.1","38254","33"
"14212","38255","32"
"14213","38256","31"
"14213.1","38256","32"
"14214","38257","32"
"14214.1","38257","35"
"14215","38258","31"
"14215.1","38258","32"
"14216","38259","32"
"14216.1","38259","34"
"14217","38260","32"
"14218","38261","32"
"14219","38263","32"
"14220","38264","32"
"14220.1","38264","33"
"14221","38265","32"
"14221.1","38265","33"
"14222","38266","32"
"14222.1","38266","33"
"14223","38267","32"
"14224","38268","31"
"14224.1","38268","32"
"14225","38269","32"
"14225.1","38269","33"
"14226","38270","31"
"14226.1","38270","32"
"14227","38271","31"
"14227.1","38271","32"
"14228","38272","32"
"14229","38273","32"
"14229.1","38273","33"
"14230","38275","32"
"14231","38276","32"
"14232","38277","31"
"14232.1","38277","32"
"14233","38278","32"
"14234","38279","31"
"14234.1","38279","32"
"14235","38280","32"
"14235.1","38280","33"
"14236","38281","31"
"14236.1","38281","32"
"14237","38282","32"
"14238","38283","32"
"14238.1","38283","33"
"14239","38284","32"
"14240","38285","32"
"14241","38286","32"
"14242","38287","32"
"14243","38288","32"
"14244","38289","32"
"14245","38290","32"
"14245.1","38290","34"
"14246","38291","32"
"14247","38292","31"
"14247.1","38292","32"
"14248","38294","32"
"14249","38295","32"
"14250","38296","32"
"14250.1","38296","35"
"14251","38297","32"
"14252","38298","32"
"14252.1","38298","34"
"14253","38299","32"
"14253.1","38299","33"
"14254","38300","32"
"14255","38301","31"
"14255.1","38301","32"
"14256","38303","31"
"14256.1","38303","32"
"14257","38304","32"
"14257.1","38304","33"
"14258","38307","32"
"14258.1","38307","34"
"14259","38308","32"
"14260","38309","31"
"14260.1","38309","32"
"14261","38310","32"
"14262","38311","32"
"14262.1","38311","34"
"14263","38313","32"
"14263.1","38313","33"
"14264","38314","31"
"14264.1","38314","32"
"14265","38315","32"
"14265.1","38315","35"
"14266","38316","32"
"14267","38317","31"
"14267.1","38317","32"
"14268","38318","32"
"14269","38319","31"
"14269.1","38319","32"
"14270","38320","32"
"14271","38321","31"
"14271.1","38321","32"
"14272","38322","31"
"14272.1","38322","32"
"14273","38323","32"
"14273.1","38323","35"
"14274","38324","32"
"14274.1","38324","34"
"14275","38325","31"
"14275.1","38325","32"
"14276","38326","32"
"14276.1","38326","33"
"14277","38328","31"
"14277.1","38328","32"
"14278","38329","32"
"14278.1","38329","33"
"14279","38330","32"
"14280","38331","31"
"14280.1","38331","32"
"14281","38332","32"
"14282","38333","31"
"14282.1","38333","32"
"14283","38334","31"
"14283.1","38334","32"
"14284","38335","32"
"14284.1","38335","34"
"14285","38336","32"
"14286","38337","31"
"14286.1","38337","32"
"14287","38338","31"
"14287.1","38338","32"
"14288","38339","32"
"14289","38340","32"
"14289.1","38340","34"
"14290","38341","32"
"14290.1","38341","35"
"14291","38342","31"
"14291.1","38342","32"
"14292","38343","32"
"14292.1","38343","35"
"14293","38344","32"
"14293.1","38344","34"
"14294","38345","31"
"14294.1","38345","32"
"14295","38346","32"
"14296","38347","32"
"14297","38348","32"
"14298","38349","32"
"14298.1","38349","34"
"14299","38350","31"
"14299.1","38350","32"
"14300","38351","32"
"14301","38352","32"
"14302","38353","32"
"14302.1","38353","34"
"14303","38354","32"
"14303.1","38354","35"
"14304","38355","31"
"14304.1","38355","32"
"14305","38356","31"
"14305.1","38356","32"
"14306","38357","32"
"14306.1","38357","35"
"14307","38358","32"
"14308","38359","32"
"14309","38360","32"
"14310","38361","32"
"14310.1","38361","33"
"14311","38362","31"
"14311.1","38362","32"
"14312","38363","32"
"14312.1","38363","34"
"14313","38364","31"
"14313.1","38364","32"
"14314","38365","32"
"14315","38366","31"
"14315.1","38366","32"
"14316","38368","31"
"14316.1","38368","32"
"14317","38369","32"
"14317.1","38369","35"
"14318","38370","32"
"14319","38372","31"
"14319.1","38372","32"
"14320","38373","31"
"14320.1","38373","32"
"14321","38374","32"
"14322","38375","32"
"14323","38376","31"
"14323.1","38376","32"
"14324","38377","32"
"14324.1","38377","35"
"14325","38378","32"
"14325.1","38378","34"
"14326","38379","32"
"14327","38380","32"
"14328","38381","32"
"14328.1","38381","35"
"14329","38382","31"
"14329.1","38382","32"
"14330","38383","31"
"14330.1","38383","32"
"14331","38384","32"
"14332","38386","31"
"14332.1","38386","32"
"14333","38387","32"
"14334","38388","31"
"14334.1","38388","32"
"14335","38389","32"
"14336","38390","31"
"14336.1","38390","32"
"14337","38391","31"
"14337.1","38391","32"
"14338","38392","32"
"14339","38393","32"
"14340","38394","32"
"14341","38395","31"
"14341.1","38395","32"
"14342","38396","32"
"14342.1","38396","33"
"14343","38397","31"
"14343.1","38397","32"
"14344","38398","32"
"14344.1","38398","35"
"14345","38399","32"
"14346","38400","31"
"14346.1","38400","32"
"14347","38401","32"
"14347.1","38401","35"
"14348","38402","32"
"14348.1","38402","33"
"14349","38403","31"
"14349.1","38403","32"
"14350","38404","31"
"14350.1","38404","32"
"14351","38405","31"
"14351.1","38405","32"
"14352","38406","32"
"14352.1","38406","34"
"14353","38407","31"
"14353.1","38407","32"
"14354","38408","32"
"14355","38409","31"
"14355.1","38409","32"
"14356","38410","32"
"14357","38412","31"
"14357.1","38412","32"
"14358","38413","32"
"14358.1","38413","33"
"14359","38414","32"
"14359.1","38414","33"
"14360","38415","32"
"14361","38416","32"
"14362","38417","31"
"14362.1","38417","32"
"14363","38418","31"
"14363.1","38418","32"
"14364","38419","31"
"14364.1","38419","32"
"14365","38420","32"
"14365.1","38420","35"
"14366","38421","31"
"14366.1","38421","32"
"14367","38422","31"
"14367.1","38422","32"
"14368","38423","31"
"14368.1","38423","32"
"14369","38424","31"
"14369.1","38424","32"
"14370","38425","32"
"14370.1","38425","34"
"14371","38426","31"
"14371.1","38426","32"
"14372","38427","32"
"14373","38428","32"
"14373.1","38428","33"
"14374","38429","31"
"14374.1","38429","32"
"14375","38430","31"
"14375.1","38430","32"
"14376","38431","31"
"14376.1","38431","32"
"14377","38432","31"
"14377.1","38432","32"
"14378","38433","31"
"14378.1","38433","32"
"14379","38434","32"
"14379.1","38434","35"
"14380","38436","31"
"14380.1","38436","32"
"14381","38437","32"
"14382","38438","31"
"14382.1","38438","32"
"14383","38439","31"
"14383.1","38439","32"
"14384","38440","32"
"14385","38442","31"
"14385.1","38442","32"
"14386","38443","31"
"14386.1","38443","32"
"14387","38444","32"
"14387.1","38444","33"
"14388","38445","31"
"14388.1","38445","32"
"14389","38446","31"
"14389.1","38446","32"
"14390","38448","32"
"14390.1","38448","34"
"14391","38449","32"
"14392","38450","31"
"14392.1","38450","32"
"14393","38451","32"
"14394","38452","32"
"14394.1","38452","34"
"14395","38453","31"
"14395.1","38453","32"
"14396","38454","32"
"14397","38455","32"
"14398","38456","31"
"14398.1","38456","32"
"14399","38457","32"
"14400","38458","32"
"14401","38459","32"
"14402","38460","31"
"14402.1","38460","32"
"14403","38462","32"
"14403.1","38462","33"
"14404","38463","32"
"14405","38464","32"
"14405.1","38464","35"
"14406","38465","32"
"14407","38466","31"
"14407.1","38466","32"
"14408","38467","32"
"14409","38468","32"
"14409.1","38468","34"
"14410","38469","32"
"14410.1","38469","33"
"14411","38470","32"
"14411.1","38470","33"
"14412","38471","31"
"14412.1","38471","32"
"14413","38472","31"
"14413.1","38472","32"
"14414","38473","32"
"14415","38474","31"
"14415.1","38474","32"
"14416","38475","32"
"14417","38476","32"
"14418","38478","31"
"14418.1","38478","32"
"14419","38479","32"
"14420","38480","32"
"14421","38481","32"
"14422","38483","32"
"14423","38484","32"
"14424","38485","31"
"14424.1","38485","32"
"14425","38486","31"
"14425.1","38486","32"
"14426","38487","32"
"14427","38488","32"
"14428","38489","32"
"14428.1","38489","33"
"14429","38490","32"
"14430","38492","31"
"14430.1","38492","32"
"14431","38494","32"
"14432","38495","32"
"14433","38496","32"
"14433.1","38496","34"
"14434","38497","32"
"14434.1","38497","33"
"14435","38498","32"
"14436","38499","32"
"14436.1","38499","33"
"14437","38500","32"
"14438","38501","31"
"14438.1","38501","32"
"14439","38503","31"
"14439.1","38503","32"
"14440","38504","31"
"14440.1","38504","32"
"14441","38505","32"
"14442","38507","32"
"14443","38508","32"
"14443.1","38508","35"
"14444","38509","32"
"14444.1","38509","35"
"14445","38511","31"
"14445.1","38511","32"
"14446","38512","32"
"14447","38513","31"
"14447.1","38513","32"
"14448","38514","31"
"14448.1","38514","32"
"14449","38515","32"
"14450","38516","31"
"14450.1","38516","32"
"14451","38517","31"
"14451.1","38517","32"
"14452","38518","32"
"14452.1","38518","33"
"14453","38519","32"
"14454","38520","32"
"14454.1","38520","35"
"14455","38521","32"
"14455.1","38521","33"
"14456","38522","32"
"14456.1","38522","33"
"14457","38523","32"
"14458","38524","31"
"14458.1","38524","32"
"14459","38525","32"
"14460","38526","32"
"14461","38527","32"
"14462","38528","31"
"14462.1","38528","32"
"14463","38529","31"
"14463.1","38529","32"
"14464","38530","32"
"14465","38531","31"
"14465.1","38531","32"
"14466","38532","32"
"14467","38533","31"
"14467.1","38533","32"
"14468","38535","32"
"14469","38536","32"
"14469.1","38536","34"
"14470","38537","32"
"14471","38538","31"
"14471.1","38538","32"
"14472","38539","32"
"14473","38540","31"
"14473.1","38540","32"
"14474","38542","32"
"14475","38543","32"
"14476","38544","32"
"14477","38545","31"
"14477.1","38545","32"
"14478","38546","32"
"14479","38547","31"
"14479.1","38547","32"
"14480","38548","31"
"14480.1","38548","32"
"14481","38549","32"
"14482","38550","32"
"14483","38551","32"
"14484","38552","32"
"14484.1","38552","33"
"14485","38553","32"
"14486","38554","32"
"14487","38555","32"
"14488","38556","32"
"14488.1","38556","34"
"14489","38557","32"
"14490","38558","32"
"14491","38559","32"
"14492","38560","32"
"14492.1","38560","35"
"14493","38561","32"
"14494","38562","31"
"14494.1","38562","32"
"14495","38563","31"
"14495.1","38563","32"
"14496","38564","31"
"14496.1","38564","32"
"14497","38565","31"
"14497.1","38565","32"
"14498","38566","31"
"14498.1","38566","32"
"14499","38567","31"
"14499.1","38567","32"
"15586","42001","38"
"15587","42002","37"
"15588","42003","36"
"15589","42005","38"
"15590","42006","37"
"15591","42007","36"
"15592","42008","36"
"15593","42009","37"
"15594","42010","40"
"15595","42011","40"
"15596","42012","37"
"15597","42013","40"
"15598","42014","36"
"15599","42015","36"
"15600","42016","36"
"15601","42017","39"
"15603","42019","37"
"15604","42020","37"
"15605","42021","37"
"15606","42022","37"
"15607","42023","39"
"15608","42025","36"
"15609","42026","36"
"15610","42027","36"
"15611","42028","39"
"15612","42029","40"
"15613","42030","37"
"15614","42031","38"
"15615","42032","38"
"15616","42033","36"
"15617","42034","37"
"15618","42035","37"
"15619","42036","38"
"15620","42037","37"
"15621","42038","37"
"15622","42039","43"
"15622.1","42039","37"
"15623","42040","43"
"15623.1","42040","37"
"15624","42041","40"
"15625","42042","37"
"15626","42043","38"
"15627","42044","38"
"15628","42045","43"
"15628.1","42045","37"
"15629","42046","37"
"15630","42047","36"
"15631","42048","36"
"15632","42049","36"
"15633","42050","37"
"15635","42052","36"
"15636","42053","38"
"15637","42054","37"
"15638","42055","50"
"15640","42058","37"
"15641","42059","40"
"15642","42060","37"
"15643","42061","36"
"15644","42062","50"
"15645","42063","36"
"15647","42065","40"
"15648","42066","40"
"15649","42067","39"
"15650","42068","36"
"15651","42069","36"
"15652","42070","36"
"15653","42071","36"
"15654","42073","40"
"15655","42074","36"
"15656","42075","37"
"15657","42076","36"
"15658","42077","36"
"15659","42078","36"
"15660","42079","36"
"15661","42081","40"
"15662","42083","38"
"15663","42084","37"
"15664","42085","38"
"15665","42086","36"
"15666","42087","37"
"15667","42088","40"
"15668","42089","37"
"15669","42090","40"
"15670","42091","37"
"15671","42092","38"
"15672","42093","38"
"15673","42094","40"
"15674","42095","38"
"15675","42096","38"
"15676","42097","38"
"15677","42098","36"
"15678","42099","38"
"15679","42100","38"
"15680","42101","39"
"15681","42102","50"
"15682","42103","38"
"15683","42104","36"
"15684","42105","37"
"15685","42106","36"
"15686","42107","37"
"15687","42108","37"
"15688","42110","38"
"15689","42112","36"
"15690","42113","40"
"15691","42115","39"
"15692","42116","36"
"15693","42117","37"
"15694","42118","36"
"15695","42119","37"
"15696","42120","36"
"15697","42121","43"
"15697.1","42121","37"
"15698","42122","37"
"15699","42123","38"
"15701","42125","36"
"15702","42126","37"
"15703","42127","36"
"15704","42128","36"
"15706","42130","37"
"15707","42131","36"
"15709","42133","38"
"15710","42134","37"
"15711","42135","40"
"15712","42136","37"
"15713","42137","37"
"15714","42138","50"
"15715","42139","39"
"15716","42140","37"
"15717","42141","36"
"15718","42142","37"
"15719","42143","40"
"15720","42145","36"
"15721","42146","37"
"15722","42147","37"
"15723","42148","40"
"15724","42149","40"
"15725","42150","37"
"15726","42151","37"
"15727","42152","36"
"15728","42153","36"
"15729","42154","40"
"15730","42155","40"
"15731","42156","36"
"15732","42157","36"
"15733","42158","36"
"15734","42159","43"
"15734.1","42159","37"
"15735","42160","36"
"15736","42161","36"
"15737","42162","36"
"15738","42163","36"
"15739","42164","37"
"15740","42165","40"
"15741","42166","36"
"15742","42167","38"
"15744","42169","37"
"15745","42170","36"
"15746","42171","40"
"15747","42172","39"
"15748","42173","36"
"15749","42174","40"
"15750","42175","40"
"15751","42176","36"
"15752","42177","36"
"15753","42178","36"
"15754","42179","37"
"15755","42180","37"
"15756","42181","36"
"15757","42182","36"
"15758","42183","38"
"15759","42184","36"
"15760","42185","40"
"15761","42186","38"
"15762","42187","36"
"15763","42188","37"
"15764","42189","38"
"15766","42192","38"
"15767","42193","40"
"15768","42194","36"
"15769","42195","37"
"15770","42196","40"
"15771","42197","37"
"15772","42198","36"
"15773","42199","36"
"15774","42200","40"
"15776","42202","40"
"15777","42203","36"
"15778","42204","37"
"15779","42205","43"
"15779.1","42205","37"
"15780","42206","38"
"15781","42207","38"
"15782","42208","38"
"15783","42209","40"
"15784","42210","38"
"15785","42211","37"
"15786","42212","36"
"15787","42213","40"
"15788","42214","40"
"15789","42215","36"
"15790","42216","50"
"15791","42217","37"
"15792","42218","38"
"15793","42219","37"
"15794","42220","36"
"15795","42221","37"
"15796","42222","38"
"15797","42223","38"
"15798","42224","39"
"15799","42225","38"
"15800","42226","36"
"15801","42227","37"
"15802","42228","37"
"15803","42229","36"
"15804","42230","36"
"15805","42231","36"
"15806","42232","36"
"15807","42233","36"
"15808","42234","38"
"15809","42235","37"
"15810","42236","36"
"15811","42237","38"
"15812","42238","37"
"15813","42239","36"
"15814","42240","37"
"15815","42241","40"
"15816","42242","38"
"15817","42243","36"
"15818","42245","37"
"15819","42246","39"
"15820","42247","37"
"15821","42248","36"
"15822","42249","36"
"15823","42251","40"
"15824","42253","36"
"15825","42254","40"
"15826","42255","36"
"15827","42256","37"
"15828","42257","36"
"15829","42259","38"
"15830","42260","36"
"15831","42261","40"
"15832","42262","38"
"15833","42264","40"
"15835","42266","38"
"15836","42267","36"
"15837","42268","36"
"15838","42269","37"
"15839","42270","38"
"15840","42271","38"
"15842","42273","36"
"15843","42274","36"
"15844","42275","38"
"15845","42276","36"
"15846","42277","36"
"15847","42278","37"
"15848","42279","37"
"15849","42280","39"
"15850","42281","36"
"15851","42282","36"
"15852","42283","38"
"15853","42284","36"
"15854","42285","37"
"15855","42286","39"
"15856","42287","39"
"15857","42288","37"
"15858","42289","36"
"15859","42290","37"
"15860","42293","36"
"15861","42294","36"
"15862","42295","36"
"15863","42296","40"
"15864","42297","40"
"15865","42298","43"
"15865.1","42298","37"
"15866","42299","37"
"15867","42300","36"
"15868","42301","37"
"15869","42302","38"
"15870","42303","36"
"15871","42304","37"
"15872","42305","38"
"15873","42306","39"
"15874","42307","38"
"15875","42308","38"
"15876","42310","39"
"15877","42311","38"
"15878","42312","37"
"15879","42313","37"
"15880","42314","36"
"15881","42315","37"
"15882","42316","38"
"15883","42317","36"
"15884","42318","37"
"15885","42319","40"
"15886","42320","38"
"15887","42321","37"
"15888","42322","38"
"15889","42323","40"
"15890","42324","37"
"15891","42325","36"
"15894","42328","37"
"15895","42329","39"
"15896","42330","38"
"15897","42331","36"
"15898","42332","36"
"15899","42333","36"
"15900","42334","40"
"15901","42335","50"
"15902","42336","50"
"15903","42337","36"
"15904","42338","36"
"15905","42339","36"
"15907","43002","42"
"15908","43003","43"
"15908.1","43003","42"
"15912","43007","41"
"15915","43010","42"
"15917","43012","41"
"15921","43016","43"
"15923","43018","42"
"15925","43020","41"
"15926","43021","42"
"15928","43023","43"
"15928.1","43023","42"
"15929","43024","41"
"15930","43025","41"
"15931","43026","42"
"15932","43027","43"
"15933","43028","41"
"15935","43030","42"
"15937","43032","42"
"15939","43034","41"
"15940","43035","43"
"15940.1","43035","42"
"15941","43036","42"
"15944","43039","42"
"15946","43041","42"
"15948","43043","42"
"15950","43045","42"
"15951","43046","42"
"15953","43048","43"
"15953.1","43048","42"
"15954","43049","42"
"15956","43051","41"
"15957","43052","43"
"15962","43057","43"
"15962.1","43057","42"
"15963","43058","41"
"15964","43059","43"
"15964.1","43059","42"
"15966","43061","42"
"15967","43062","42"
"15968","43063","43"
"15972","43067","43"
"15974","43069","41"
"15976","43071","43"
"15976.1","43071","42"
"15978","43073","43"
"15978.1","43073","42"
"15981","43076","43"
"15981.1","43076","42"
"15983","43078","42"
"15985","43080","42"
"15988","43084","42"
"15991","43087","41"
"15993","43089","42"
"15997","43093","43"
"15997.1","43093","42"
"15999","43095","42"
"16004","43100","43"
"16006","43102","41"
"16009","43105","43"
"16010","43106","43"
"16011","43107","43"
"16012","43108","43"
"16012.1","43108","42"
"16018","43114","41"
"16020","43116","43"
"16020.1","43116","42"
"16021","43117","43"
"16023","43119","42"
"16026","43122","42"
"16028","43124","42"
"16030","43126","42"
"16031","43127","41"
"16032","43128","43"
"16032.1","43128","42"
"16033","43129","41"
"16034","43130","41"
"16035","43131","43"
"16038","43134","42"
"16040","43136","42"
"16041","43137","41"
"16042","43138","43"
"16042.1","43138","42"
"16044","43140","42"
"16045","43141","41"
"16046","43142","41"
"16053","43150","42"
"16055","43152","42"
"16056","43153","41"
"16060","43157","42"
"16062","43159","41"
"16064","43162","41"
"16065","43163","41"
"16066","43164","42"
"16067","43165","42"
"16068","43166","41"
"16074","43172","41"
"16076","43174","42"
"16078","43177","41"
"16081","43181","42"
"16083","43183","43"
"16084","43184","41"
"16087","43187","42"
"16089","43189","43"
"16089.1","43189","42"
"16090","43190","42"
"16093","43193","43"
"16094","43194","42"
"16096","43196","43"
"16096.1","43196","42"
"16097","43197","42"
"16099","43199","41"
"16101","43201","42"
"16103","43203","41"
"16104","43204","41"
"16105","43205","41"
"16108","43208","43"
"16110","43211","41"
"16111","43212","41"
"16112","43213","41"
"16113","43214","43"
"16115","43216","42"
"16116","43217","42"
"16118","43219","43"
"16119","43220","42"
"16120","43221","42"
"16122","43223","41"
"16123","43224","41"
"16126","43227","41"
"16127","43228","43"
"16127.1","43228","42"
"16128","43229","42"
"16129","43230","42"
"16132","43233","42"
"16134","43236","41"
"16135","43237","43"
"16135.1","43237","42"
"16138","43240","41"
"16139","43241","42"
"16141","43244","41"
"16143","43246","41"
"16145","43249","41"
"16146","43250","43"
"16147","43251","42"
"16148","43252","43"
"16150","43254","42"
"16152","43257","42"
"16154","43259","42"
"16155","43260","42"
"16160","43265","41"
"16161","43267","42"
"16162","43268","41"
"24344","63002","43"
"24345","63003","43"
"24346","63004","45"
"24347","63005","44"
"24348","63006","44"
"24349","63007","44"
"24350","63008","43"
